vertex: modules
1509: 2 27
1510: 20 7
1511: 16 7
1512: 25 5
1513: 28 14
1514: 2 7
1515: 11 20
1516: 6
1517: 4
1518: 11 20
1519: 1 11
1520: 18 2
1521: 9 5
1522: 27 29
1523: 9 2
1524: 12 22
1525: 17 18
1526: 24 29
1527: 21 23
1528: 24 29
1529: 19 28
1530: 24 19
1531: 21 6
1532: 18 2
1533: 0 19
1534: 11 4
1535: 16 20
1536: 19 21
1537: 24 26
1538: 29 21
1539: 26 6
1540: 17 10
1541: 25 22
1542: 27 5
1543: 29 21
1544: 18 14
1545: 4 14
1546: 25 13
1547: 24 17
1548: 25 26
1549: 3 11
1550: 17 5
1551: 25 1
1552: 18 11
1553: 8 17
1554: 20 14
1555: 5 29
1556: 17 2
1557: 18 28
1558: 3 7
1559: 1 17
1560: 3 27
1561: 3 19
1562: 9
1563: 28 7
1564: 10 23
1565: 27 23
1566: 0 6
1567: 3 23
1568: 25 20
1569: 8 27
1570: 23 15
1571: 19 22
1572: 24 2
1573: 2 13
1574: 26 20
1575: 1 3
1576: 9 4
1577: 8 23
1578: 0 10
1579: 17 14
1580: 20 5
1581: 24 22
1582: 16 11
1583: 17 10
1584: 9 22
1585: 10 12
1586: 16 18
1587: 20 13
1588: 19 21
1589: 24 26
1590: 26 21
1591: 9
1592: 16 23
1593: 28 13
1594: 1 2
1595: 26 18
1596: 21 15
1597: 18 13
1598: 1 11
1599: 1 10
1600: 5 15
1601: 18 29
1602: 17 22
1603: 1 13
1604: 9 13
1605: 25 29
1606: 10 20
1607: 17 9
1608: 25 13
1609: 17 2
1610: 2 22
1611: 2
1612: 19 7
1613: 26 2
1614: 1 28
1615: 4 5
1616: 29 21
1617: 26 13
1618: 27 5
1619: 2 15
1620: 25 21
1621: 18 5
1622: 24 27
1623: 4 13
1624: 9 6
1625: 11 28
1626: 17 14
1627: 17 4
1628: 9 26
1629: 16 1
1630: 8
1631: 1 11
1632: 12 29
1633: 25 18
1634: 9 20
1635: 17 18
1636: 12 22
1637: 20 7
1638: 17 14
1639: 28 22
1640: 5 6
1641: 8 6
1642: 5 15
1643: 16 5
1644: 10 4
1645: 17 27
1646: 0 26
1647: 16 3
1648: 29 6
1649: 2 28
1650: 14 23
1651: 28 14
1652: 19 28
1653: 10 27
1654: 9 2
1655: 9 6
1656: 25 29
1657: 3 5
1658: 13 15
1659: 11 20
1660: 18 19
1661: 10 21
1662: 17 23
1663: 8 10
1664: 18 6
1665: 2 13
1666: 27 6
1667: 13 21
1668: 27 4
1669: 18 22
1670: 17 27
1671: 27 20
1672: 17 23
1673: 5 15
1674: 17 25
1675: 12 7
1676: 25 15
1677: 29 6
1678: 16 25
1679: 25 6
1680: 19 21
1681: 3 27
1682: 26 29
1683: 26 7
1684: 21 15
1685: 3 13
1686: 13 6
1687: 20 13
1688: 27 29
1689: 20 14
1690: 0 24
1691: 1 4
1692: 26 6
1693: 28 14
1694: 12 14
1695: 8 5
1696: 3 15
1697: 2 11
1698: 3 12
1699: 16 28
1700: 8 15
1701: 0 4
1702: 28 12
1703: 28 6
1704: 1 11
1705: 9 18
1706: 27 13
1707: 24
1708: 17 4
1709: 9 7
1710: 25 1
1711: 22 14
1712: 1 29
1713: 24 27
1714: 29 14
1715: 19 11
1716: 29 22
1717: 1 9
1718: 26 23
1719: 13 23
1720: 0 20
1721: 5 7
1722: 12 13
1723: 3 27
1724: 29 7
1725: 28 5
1726: 1 4
1727: 5 15
1728: 11 28
1729: 11 4
1730: 5 22
1731: 18 28
1732: 12 14
1733: 10 12
1734: 9 10
1735: 8 1
1736: 23
1737: 1 6
1738: 9 18
1739: 27 15
1740: 20 5
1741: 28 14
1742: 19 29
1743: 1 26
1744: 19
1745: 4 5
1746: 9 13
1747: 1 15
1748: 16 5
1749: 0 6
1750: 17 21
1751: 0 23
1752: 0 17
1753: 24 15
1754: 18 21
1755: 10 19
1756: 0 13
1757: 16 1
1758: 18 5
1759: 21 14
1760: 10 13
1761: 10 23
1762: 13 15
1763: 16 28
1764: 11 7
1765: 8 7
1766: 6 7
1767: 8 6
1768: 25 20
1769: 29 15
1770: 2 15
1771: 1 2
1772: 9 5
1773: 28 5
1774: 24 9
1775: 17 28
1776: 1 26
1777: 24 11
1778: 28 23
1779: 0 25
1780: 6 7
1781: 10 22
1782: 24 6
1783: 28 4
1784: 19 20
1785: 16 27
1786: 8 17
1787: 12 7
1788: 25 3
1789: 1 7
1790: 0 3
1791: 1 15
1792: 2 19
1793: 10 23
1794: 10 11
1795: 26 2
1796: 20 14
1797: 24 6
1798: 1 26
1799: 8 3
1800: 11 15
1801: 1 14
1802: 20 29
1803: 0
1804: 16 17
1805: 25 9
1806: 0 6
1807: 10 5
1808: 12 7
1809: 25 18
1810: 3 7
1811: 18 12
1812: 17 29
1813: 17 10
1814: 10 6
1815: 14 6
1816: 2 5
1817: 1
1818: 18 14
1819: 6 7
1820: 3 29
1821: 26 15
1822: 24 4
1823: 10 13
1824: 8 20
1825: 19 23
1826: 28 7
1827: 25 11
1828: 17 14
1829: 2 13
1830: 9 18
1831: 10 11
1832: 8 14
1833: 0 7
1834: 24 13
1835: 0 9
1836: 24 26
1837: 15 23
1838: 25 11
1839: 0 17
1840: 6 7
1841: 0 18
1842: 17 13
1843: 11 14
1844: 24 15
1845: 4 15
1846: 9 13
1847: 2 21
1848: 9 20
1849: 22 14
1850: 9 26
1851: 18 19
1852: 27 21
1853: 9 15
1854: 27 12
1855: 24 2
1856: 8 11
1857: 2 28
1858: 24 1
1859: 11 21
1860: 3 12
1861: 16 19
1862: 28 5
1863: 17 22
1864: 26 27
1865: 10 27
1866: 11 12
1867: 11 13
1868: 25 10
1869: 9 5
1870: 23 7
1871: 1 26
1872: 0 14
1873: 10 28
1874: 8 16
1875: 17 13
1876: 8 17
1877: 8 16
1878: 22 14
1879: 8 0
1880: 20 4
1881: 25 28
1882: 21 13
1883: 29 15
1884: 18 28
1885: 24 7
1886: 1 18
1887: 16 19
